"rs_schema_id","schema_id","pipeline_id","part_id","node_id_end","node_id_start","l","simple_part_id","node_name_start","altitude_start","node_type_start","x_start","y_start","node_name_end","altitude_end","node_type_end","x_end","y_end","d","s","thread_number","pipe_material","cover_ext","pipeline_type","placing","creation_date","mestor_name","schema_name","rs_schema_name","cover_int","start_kind","start_q","start_is_source","start_p","end_kind","end_q","end_is_source","end_p"
1750000710,1750000710,1750006754,1750017120,1750021952,1750021951,780.0,1750028036,т.вр. в к13,84.0,3,442645.97,6552537.5,"т.вр. в к27, к24",73.6,3,442927.8,6553262.0,273.0,20.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
1750000710,1750000710,1750006754,1750017120,1750021949,1750034363,475.0,1750033571,КНС-1 (23в),87.0,3,441520.62,6546651.0,т.вр. в к22,84.5,3,441527.4,6547110.0,273.0,20.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
1750000710,1750000710,1750006754,1750017120,1750021951,1751052639,3079.0,1751043670,уз.вр.к.21,87.5,3,442131.88,6550048.5,т.вр. в к13,84.0,3,442645.97,6552537.5,273.0,20.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
1750000710,1750000710,1750006754,1750017120,1751052639,1750021949,3000.0,1750028037,т.вр. в к22,84.5,3,441527.4,6547110.0,уз.вр.к.21,87.5,3,442131.88,6550048.5,273.0,20.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
1750000710,1750000710,1750006754,1750017120,1750021953,1750021952,825.0,1750028035,"т.вр. в к27, к24",73.6,3,442927.8,6553262.0,т.вр. в к18 в/в,74.2,3,443258.4,6553978.0,273.0,20.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
1750000710,1750000710,1750006754,1750017120,1750034363,1750010931,25.0,1750019345,КНС-1 Тайлаковская,86.9,8,441550.25,6546637.5,КНС-1 (23в),87.0,3,441520.62,6546651.0,273.0,20.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,P,,true,219.6,,,,
1750000710,1750000710,1750006754,1750017130,1750014130,1750021961,132.0,1750019355,уз. в к18,88.0,3,440065.88,6554698.0,к.18,88.65,1,440016.56,6554800.5,168.0,16.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,Q,225.0,false,
1750000710,1750000710,1750006754,1750020803,1750019994,1750021948,6879.0,1750023288,уз.в к17,71.0,3,443750.3,6555183.0,к.30,67.0,1,446283.28,6561200.0,114.0,11.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,Q,63.885715,false,165.47104
1750000710,1750000710,1750006754,1750017125,1750014131,1750021957,120.0,1750019350,уз. в к13,88.2,3,442190.03,6552776.5,к.13,88.54,1,442206.84,6552792.5,168.0,14.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,Q,613.2206,false,210.18774
1750000710,1750000710,1750006754,1750028508,1750021956,1750021950,103.0,1750033292,уз.в к22,86.0,3,442299.4,6547104.5,БГ 2 к.22,87.5,3,442366.47,6547196.0,168.0,16.0,1,сталь 20,"",Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,Лакокрасочное эпоксидное,,,,,,,,
1750000710,1750000710,1750006754,1750028509,1750042286,1750020918,85.0,1750033293,к.27,74.0,1,445689.06,6551812.0,БГ2 к.27,74.5,3,445793.94,6551733.0,114.0,11.0,1,сталь 20,"",Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,"",Q,364.0148,false,210.69266,,,,
1750000710,1750000710,1750006754,1751036482,1750027797,1751052639,1927.0,1751043671,уз.вр.к.21,87.5,3,442131.88,6550048.5,к.21,85.4,1,443478.06,6550379.0,168.0,16.0,1,сталь 13ХФА,"",Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,"",,,,,,,,
