,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,X_start,Y_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,mestor_name,uphillM,startIsSource,VolumeWater,startKind,startValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,sourceByCount,outletByCount
18,pipe,HC0002,1750027949,1830,1750017860,1750000894,1750000894,1750006954,1750022130,1750022129,1830,1431079845000,т.вр.к32,83.2,3,455915.316447218,6570162.72972654,т.вр.к33,83.1,3,219,10,1,1242590400000,Тайлаковское,-0.100000000000009,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
19,pipe,HC0002,1750035231,2714,1750030021,1750000894,1750000894,1750007301,1750022118,1750022399,2714,1484309077000,уз.к8,80.3,3,466100.35,6569809.91,уз.к.8,81.1,3,159,8,1,1464123600000,Тайлаковское,0.799999999999997,False,,,,False,,,,,,,0.85,0.143,1E-05,False,False
20,pipe,HC0002,1750019668,727,1750017423,1750000894,1750000894,1750008987,1750047219,1750019875,727,1273240775000,к.34 ,64.73,1,465109.41,6567989.01,вр. к.134,65.3,3,159,10,1,1241640000000,Тайлаковское,0.569999999999993,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
21,pipe,HC0002,1750019655,785,1750017410,1750000894,1750000894,1750006835,1750022126,1750022124,785,1273238332000,уз.к5,64.3,3,460565.05,6564261.48,"т.вр. к9, к36",63.7,3,219,10,1,1225314000000,Тайлаковское,-0.599999999999994,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
22,pipe,HC0002,1750019654,180,1750017409,1750000894,1750000894,1750007301,1750034308,1750022123,180,1273237934000,уз.к.6,75,3,462993.796819499,6569932.07637597,т.вр.к.6,83,3,273,10,1,1215720000000,Тайлаковское,8,False,,,,False,,,,,,,0.85,0.253,1E-05,False,False
23,pipe,HC0002,1750020029,1980,1750017764,1750000894,1750000894,1750006836,1750034283,1750021557,1980,1275052807000,к.46 ,65.2,1,443465.191266358,6577950.50980999,"т.вр.к.59,46",64.5,3,159,10,1,1270929600000,Тайлаковское,-0.700000000000003,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
24,pipe,HC0002,1750020121,15,1750017855,1750000894,1750000894,1750007301,1750022123,1750018056,15,1275652458000,к.6 ,77,1,462999.89,6569929.3,уз.к.6,75,3,159,10,1,1215720000000,Тайлаковское,-2,True,,P,15,False,,,,,,,0.85,0.139,1E-05,True,False
25,pipe,HC0002,1750020036,30,1750017771,1750000894,1750000894,1750006836,1751061520,1750021238,30,1275053106000,к.41 ,101.3,1,450505.98,6574827.9,т.вр.к.41б,101.3,3,114,8,1,1270929600000,Тайлаковское,0,True,,P,15,False,,,,,,,0.85,0.098,1E-05,True,False
26,pipe,HC0002,1750023014,1087,1750020529,1750000894,1750000894,1750006836,1750022122,1750022132,1087,1320727675000,уз.УДР-2,78.5,3,461596.24436416,6568631.53798878,уз.УДР-1,81.9,3,273,10,1,1240948800000,Тайлаковское,3.40000000000001,False,,,,False,,,,,,,0.85,0.253,1E-05,False,False
27,pipe,HC0002,1750027959,2625,1750017764,1750000894,1750000894,1750006836,1750022321,1750034283,2625,1431088047000,"т.вр.к.59,46",64.5,3,444122.43077267,6576487.98540724,т.вр.к47,82.9,3,159,10,1,1270929600000,Тайлаковское,18.4,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
28,pipe,HC0002,1751043251,1163,1751036043,1750000894,1750000894,1750006836,1750022327,1751061520,1163,1548759019000,т.вр.к.41б,101.3,3,450478.57,6574858.07,т.вр.к41,92.6,3,159,8,1,1550005200000,Тайлаковское,-8.7,False,,,,False,,,,,,,0.85,0.143,1E-05,False,False
29,pipe,HC0002,1750020129,343,1750017863,1750000894,1750000894,1750006954,1750022139,1750019873,343,1275654556000,к.32 ,85.6,1,455799.416102661,6570731.78137607,уз.к32,84,3,159,10,1,1232658000000,Тайлаковское,-1.59999999999999,True,,P,15,False,,,,,,,0.85,0.139,1E-05,True,False
30,pipe,HC0002,1751043770,1391,1750017770,1750000894,1750000894,1750006836,1750022327,1750022326,1391,1551446928000,уз.к.53,81.6,3,448380.14,6574714.09,т.вр.к41,92.6,3,219,8,1,1270929600000,Тайлаковское,11,False,,,,False,,,,,,,0.85,0.203,1E-05,False,False
31,pipe,HC0002,1750027945,492,1750024635,1750000894,1750000894,1750006836,1750022330,1750027997,492,1431073489000,к.49 ,93,1,453895.526181949,6577968.56634946,уз.к49,92.2,3,159,10,1,1399233600000,Тайлаковское,-0.799999999999997,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
32,pipe,HC0002,1750037753,170,1750031723,1750000894,1750000894,1750006836,1750022341,1750022383,170,1503304703000,к.54 ,66.2,1,445078.398150777,6570906.36827333,уз.к.54,65,3,114,8,1,1501448400000,Тайлаковское,-1.2,True,,P,15,False,,,,,,,0.85,0.098,1E-05,True,False
33,pipe,HC0002,1750027886,1082,1750017857,1750000894,1750000894,1750007301,1750022119,1750022118,1082,1431007167000,уз.к.8,81.1,3,463990.942480835,6570421.96335873,"уз. к10, к19",82.6,3,219,10,1,1219780800000,Тайлаковское,1.5,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
34,pipe,HC0002,1750035350,3769,1750030141,1750000894,1750000894,1750006836,1750022140,1750022329,3769,1484742173000,т.вр.к49,82.2,3,454718.413081327,6571090.5011788,уз.к33,82.3,3,325,8,1,1460926800000,Тайлаковское,0.099999999999994,False,,,,False,,,,,,,0.85,0.309,1E-05,False,False
35,pipe,HC0002,1750041892,20,1750034982,1750000894,1750000894,1750007301,1750022322,1750022320,20,1536822403000,уз.ЗКЛD273,82,3,462674.212075298,6569861.83190449,уз.ЗКЛD325,71.5,3,273,10,1,,Тайлаковское,-10.5,False,,,,False,,,,,,,0.85,0.253,1E-05,False,False
36,pipe,HC0002,1750031728,39,1750017784,1750000894,1750000894,1750006836,1750022333,1750022281,39,1463658019000,к.59 ,63.1,1,440726.76,6574688.91,т.вр.к59,60.1,3,159,10,1,1277323200000,Тайлаковское,-3,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
37,pipe,HC0002,1750020069,250,1750017804,1750000894,1750000894,1750006836,1750022359,1750023093,250,1275396889000,к.62 ,66.9,1,454824.37,6567212.04,уз.вр.к.62Б,66.3,3,159,10,1,1268600400000,Тайлаковское,-0.600000000000009,True,,P,15,False,,,,,,,0.85,0.139,1E-05,True,False
38,pipe,HC0002,1750035268,1506,1750030069,1750000894,1750000894,1750007301,1750022322,1750022119,1506,1484572376000,"уз. к10, к19",82.6,3,463208.029404635,6571077.98244772,уз.ЗКЛD325,71.5,3,325,8,1,1479243600000,Тайлаковское,-11.1,False,,,,False,,,,,,,0.85,0.309,1E-05,False,False
39,pipe,HC0002,1750037752,990.7,1750017787,1750000894,1750000894,1750006836,1750022342,1750022341,990.7,1503304646000,уз.к.54,65,3,444961.509185771,6571013.97089346,т.вр.к54,60.9,3,159,10,1,1278878400000,Тайлаковское,-4.1,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
40,pipe,HC0002,1750031031,176,1750026881,1750000894,1750000894,1750006836,1750022355,1750034907,176,1458910780000,к.63 ,71.2,1,452312.91,6569504.5,"т.вр. к.63,65",70,3,159,8,1,1433883600000,Тайлаковское,-1.2,True,,P,15,False,,,,,,,0.85,0.143,1E-05,True,False
41,pipe,HC0002,1750020126,1305,1750017860,1750000894,1750000894,1750006954,1750044306,1750019913,1305,1275652989000,к.31 ,82.3,1,453532.475937449,6572394.3259529,ЗКЛ№98,79.1,3,219,10,1,1242590400000,Тайлаковское,-3.2,True,,P,15,False,,,,,,,0.85,0.199,1E-05,True,False
42,pipe,HC0002,1750027950,4394,1750017860,1750000894,1750000894,1750006954,1750022132,1750022130,4394,1431080071000,т.вр.к33,83.1,3,457334.100379216,6569009.69009548,уз.УДР-2,78.5,3,219,10,1,1242590400000,Тайлаковское,-4.59999999999999,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
43,pipe,HC0002,1750039670,703,1750033302,1750000894,1750000894,1750006835,1750022126,1750048759,703,1517225619000,к.155 ,61.86,1,460090.19,6564486.08,"т.вр. к9, к36",63.7,3,159,8,1,1527109200000,Тайлаковское,1.84,True,,P,15,False,,,,,,,0.85,0.143,1E-05,True,False
44,pipe,HC0002,1750019671,440,1750017426,1750000894,1750000894,1750006954,1750022130,1750019874,440,1273240910000,к.33 ,85.2,1,457666.463081348,6569442.21413068,т.вр.к33,83.1,3,159,10,1,1240948800000,Тайлаковское,-2.10000000000001,True,,P,15,False,,,,,,,0.85,0.139,1E-05,True,False
45,pipe,HC0002,1750035233,1790,1750030022,1750000894,1750000894,1750006836,1750043786,1750037567,1790,1484311302000,к.93 ,86.2,1,457470.93,6575662.16,т.вр.к.93,85.2,3,159,8,1,1461704400000,Тайлаковское,-1,True,,P,15,False,,,,,,,0.85,0.143,1E-05,True,False
46,pipe,HC0002,1750027968,341,1750024657,1750000894,1750000894,1750007301,1750034308,1750028283,341,1431412704000,к.6 Б,83.2,1,462933.377477254,6569611.68796407,т.вр.к.6,83,3,114,8,1,1383508800000,Тайлаковское,-0.200000000000003,True,,P,15,False,,,,,,,0.85,0.098,1E-05,True,False
47,pipe,HC0002,1750020123,515,1750017857,1750000894,1750000894,1750007301,1750022117,1750018260,515,1275652598000,к.7 ,80,1,466095.030452825,6571836.12066958,уз.к7,83.2,3,219,10,1,1219780800000,Тайлаковское,3.2,True,,P,15,False,,,,,,,0.85,0.199,1E-05,True,False
48,pipe,HC0002,1750026221,3231,1750023212,1750000894,1750000894,1750007301,1750031680,1750027796,3231,1412772478000,к.86 ,88.2,1,467488.991422693,6575380.77024924,"вр. к.86,к.89",85,3,114,8,1,1363291200000,Тайлаковское,-3.2,True,,P,15,False,,,,,,,0.85,0.098,1E-05,True,False
49,pipe,HC0002,1750020117,2308,1750017851,1750000894,1750000894,1750006835,1750022403,1750023739,2308,1275651634000,к.36 ,82.7,1,457493.548157622,6566139.78191457,т.вр.к36,65.5,3,159,10,1,1305921600000,Тайлаковское,-17.2,True,,P,15,False,,,,,,,0.85,0.139,1E-05,True,False
50,pipe,HC0002,1750019651,1922,1750017406,1750000894,1750000894,1750007301,1750022121,1750023753,1922,1273237300000,к.10 ,86.7,1,464182.123651095,6573760.03152913,вр. к.19,84.8,3,114,8,1,1297544400000,Тайлаковское,-1.90000000000001,True,,P,15,False,,,,,,,0.85,0.098,1E-05,True,False
51,pipe,HC0002,1750022997,7568,1750020512,1750000894,1750000894,1750006836,1750022333,1750023998,7568,1320669269000,к.39 ,58.5,1,434000.77,6575351.81,т.вр.к59,60.1,3,159,10,1,1304452800000,Тайлаковское,1.6,True,,P,15,False,,,,,,,0.85,0.139,1E-05,True,False
52,pipe,HC0002,1750020118,1478,1750017852,1750000894,1750000894,1750006835,1750022126,1750022403,1478,1275651699000,т.вр.к36,65.5,3,459032.18,6564570.71,"т.вр. к9, к36",63.7,3,219,10,1,1305921600000,Тайлаковское,-1.8,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
53,pipe,HC0002,1750027889,2648,1750017410,1750000894,1750000894,1750006835,1750022122,1750022127,2648,1431009690000,вр. к.35,68.3,3,461339.602916068,6566982.19619557,уз.УДР-1,81.9,3,219,10,1,1225314000000,Тайлаковское,13.6,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
54,pipe,HC0002,1750020064,2959,1750017799,1750000894,1750000894,1750006836,1750038106,1750022351,2959,1275396469000,т.вр.к68,63.8,3,450288.199192269,6566720.30762156,т.вр.к.63,68.2,3,325,8,1,1277323200000,Тайлаковское,4.40000000000001,False,,,,False,,,,,,,0.85,0.309,1E-05,False,False
55,pipe,HC0002,1750027957,1989,1750017789,1750000894,1750000894,1750006836,1750022351,1750022349,1989,1431087301000,т.вр.к69,63.2,3,448589.85,6565938.72,т.вр.к68,63.8,3,273,8,1,1277323200000,Тайлаковское,0.599999999999994,False,,,,False,,,,,,,0.85,0.257,1E-05,False,False
56,pipe,HC0002,1750020054,2060,1750017789,1750000894,1750000894,1750006836,1750022343,1750022342,2060,1275395229000,т.вр.к54,60.9,3,444481.207431562,6570123.46969358,т.вр.к56,61.2,3,273,8,1,1277323200000,Тайлаковское,0.300000000000004,False,,,,False,,,,,,,0.85,0.257,1E-05,False,False
57,pipe,HC0002,1750036049,600,1750017772,1750000894,1750000894,1750006836,1750022329,1750044306,600,1487246968000,ЗКЛ№98,79.1,3,454255.864898268,6571457.07722841,т.вр.к49,82.2,3,273,8,1,1270929600000,Тайлаковское,3.10000000000001,False,,,,False,,,,,,,0.85,0.257,1E-05,False,False
58,pipe,HC0002,1750020038,25,1750017773,1750000894,1750000894,1750006836,1750022330,1750027997,25,1275053221000,к.49 ,93,1,453895.526181949,6577968.56634946,уз.к49,92.2,3,159,8,1,1356984000000,Тайлаковское,-0.799999999999997,False,,,,False,,,,,,,0.85,0.143,1E-05,False,False
59,pipe,HC0002,1750020042,4001,1750017777,1750000894,1750000894,1750006836,1750022140,1750022329,4001,1275053565000,т.вр.к49,82.2,3,454718.413081327,6571090.5011788,уз.к33,82.3,3,426,8,1,1270929600000,Тайлаковское,0.099999999999994,False,,,,False,,,,,,,0.85,0.41,1E-05,False,False
60,pipe,HC0002,1750020111,25,1750017845,1750000894,1750000894,1750007301,1750022399,1750027136,25,1275650126000,к.8 ,82.83,1,466124.2,6569835.78,уз.к8,80.3,3,114,10,1,1352923200000,Тайлаковское,-2.53,True,,P,15,False,,,,,,,0.85,0.094,1E-05,True,False
61,pipe,HC0002,1750031032,1195,1750026882,1750000894,1750000894,1750006836,1750038106,1750022355,1195,1458911621000,"т.вр. к.63,65",70,3,452177.89,6569384.93,т.вр.к.63,68.2,3,219,8,1,1433883600000,Тайлаковское,-1.8,False,,,,False,,,,,,,0.85,0.203,1E-05,False,False
62,pipe,HC0002,1750026223,2200,1750023214,1750000894,1750000894,1750007301,1750022117,1750028219,2200,1412772948000,к.94 ,83.51,1,467950.050789547,6571059.19914044,уз.к7,83.2,3,159,8,1,1368820800000,Тайлаковское,-0.310000000000002,True,,P,15,False,,,,,,,0.85,0.143,1E-05,True,False
63,pipe,HC0002,1750031029,2088,1750017799,1750000894,1750000894,1750006836,1750022358,1750038106,2088,1458905996000,т.вр.к.63,68.2,3,452785.898518595,6568454.51588638,т.вр.к62,69.3,3,325,8,1,1277323200000,Тайлаковское,1.09999999999999,False,,,,False,,,,,,,0.85,0.309,1E-05,False,False
64,pipe,HC0002,1751043250,502,1751036042,1750000894,1750000894,1750006836,1751061520,1751058780,502,1548758889000,к.41 Б,97.22,1,450678.04,6574595.4,т.вр.к.41б,101.3,3,159,8,1,1550005200000,Тайлаковское,4.08,True,,P,15,False,,,,,,,0.85,0.143,1E-05,True,False
