,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,X_start,Y_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,pipe_material,mestor_name,uphillM,startIsSource,VolumeWater,startKind,startValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,sourceByCount,outletByCount
18,pipe,HC0002,1750028012,1461,1750016998,1750000610,1750000610,1750006714,1750021812,1750021819,1461,1431515901000,т.вр.к12,88.2,3,440509.632457669,6548307.61368351,Узел 2,82.6,3,273,10,1,1146945600000,сталь 20А,Тайлаковское,-5.60000000000001,False,,,,False,,,,,,,0.85,0.253,1E-05,False,False
19,pipe,HC0002,1750016102,3468,1750014137,1750000610,1750000610,1750005566,1750018039,1750021857,3468,1211440865000,уз.к18,84.7,3,440012.44,6554775.79,т.вр.к.18,75.8,3,159,10,1,1180468800000,сталь 20С,Тайлаковское,-8.90000000000001,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
20,pipe,HC0002,1750019369,14,1750017144,1750000610,1750000610,1750006714,1750021970,1750010938,14,1271231682000,к.1 ,85,1,439823.23,6546342.02,уз. к1,87.5,3,159,10,1,1117569600000,сталь 20,Тайлаковское,2.5,True,,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False
21,pipe,HC0002,1750028009,3720,1750024699,1750000610,1750000610,1750005566,1750025406,1750028316,3720,1431501702000,к.71 ,67.8,1,440040.9303294,6561506.88489423,уз.вр. к37,62.4,3,168,16,1,1433106000000,сталь 13ХФА,Тайлаковское,-5.4,True,,P,15,False,,,,15,,,0.85,0.136,1E-05,True,False
22,pipe,HC0002,1750033190,4016,1750028401,1750000610,1750000610,1750005566,1751051667,1751051666,4016,1473668263000,вр. к.30,69.7,3,444929.61,6560064.25,т.83,71,3,219,8,1,1433365200000,сталь 09Г2С,Тайлаковское,1.3,False,,,,False,,,,,,,0.85,0.203,1E-05,False,False
23,pipe,HC0002,1751042843,10,1751035731,1750000610,1750000610,1750005566,1751051667,1750038146,10,1544017240000,т.вр.к.83,69.7,3,443927.48,6555999.71,т.83,71,3,159,8,1,,сталь 20,Тайлаковское,1.3,False,,,,False,,,,,,,0.85,0.143,1E-05,False,False
24,pipe,HC0002,1750019279,200,1750017052,1750000610,1750000610,1750006714,1751052499,1750020317,200,1270545810000,к.29 ,66.3,1,442419.25250814,6543927.99863549,вр. к.129,68,3,114,8,1,1247774400000,сталь 20,Тайлаковское,1.7,False,,,,False,,,,,,,0.85,0.098,1E-05,False,False
25,pipe,HC0002,1750038492,4108,1750032342,1750000610,1750000610,1750005566,1750021865,1751051663,4108,1508334756000,т.вр.к.37,62,3,442472.971758301,6562888.11478336,т.вр.к30,69.5,3,273,8,1,1507582800000,сталь 13ХФА,Тайлаковское,7.5,False,,,,False,,,,,,,0.85,0.257,1E-05,False,False
26,pipe,HC0002,1750035230,6131,1750030020,1750000610,1750000610,1750005566,1750010908,1751060240,6131,1484307942000,ЗКЛ№378,86.4,3,442683.76,6552519.53,ДНС-1 Тайлаковского,85.7,7,325,8,1,1454446800000,сталь 13ХФА,Тайлаковское,-0.700000000000003,False,,,,True,P,4.8,,,,,0.85,0.309,1E-05,False,True
27,pipe,HC0002,1750019192,28,1750016967,1750000610,1750000610,1750006714,1750034330,1750014054,28,1269874652000,к.23 ,70.81,1,436762.112553516,6545422.04034569,т.вр.к.23,71.4,3,159,10,1,1180641600000,сталь 20,Тайлаковское,0.590000000000003,True,,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False
28,pipe,HC0002,1750028015,984,1750016973,1750000610,1750000610,1750006714,1750010908,1750021882,984,1431519443000,вр.к.25,82.6,3,440911.85985074,6546622.87575147,ДНС-1 Тайлаковского,85.7,7,219,10,1,1182369600000,сталь 20С,Тайлаковское,3.10000000000001,False,,,,True,P,4.8,,,,,0.85,0.199,1E-05,False,True
29,pipe,HC0002,1750022919,3957,1750020434,1750000610,1750000610,1750006714,1750025398,1750024113,3957,1319448157000,к.64 ,70.2,1,436231.931071926,6542395.83257822,"уз.к.38,64",66.6,3,159,10,1,1305144000000,сталь 20,Тайлаковское,-3.60000000000001,True,,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False
30,pipe,HC0002,1750016539,503,1750014533,1750000610,1750000610,1750006714,1750036572,1750034327,503,1215669562000,т.вр.к.4,89.9,3,439981.722188659,6551667.45188996,т.вр.к.14,91.2,3,219,10,1,1141160400000,сталь 20А,Тайлаковское,1.3,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
31,pipe,HC0002,1750030694,2824,1750014533,1750000610,1750000610,1750006714,1750018377,1750036572,2824,1438755801000,т.вр.к.14,91.2,3,440294.32245277,6551370.62550202,т.вр.к.3,91.6,3,219,10,1,1141160400000,сталь 20А,Тайлаковское,0.399999999999991,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
32,pipe,HC0002,1750035234,379,1750030023,1750000610,1750000610,1750006714,1750020317,1750037446,379,1484312735000,к.29 Б,66.3,1,442646.64,6543842.8,к.29 ,66.3,1,159,8,1,1457125200000,сталь 13ХФА,Тайлаковское,0,True,,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False
33,pipe,HC0002,1750038990,275,1750032762,1750000610,1750000610,1750006714,1750045719,1750047739,275,1512127227000,задв. 14.1,89.3,3,438234.927043586,6552763.3831495,уз.зкл к.14,89.3,3,159,8,1,1427403600000,сталь 13ХФА,Тайлаковское,0,False,,,,False,,,,,,,0.85,0.143,1E-05,False,False
34,pipe,HC0002,1750019276,810,1750017049,1750000610,1750000610,1750006714,1750022574,1750019993,810,1270545257000,к.25 ,72.2,1,441032.833356061,6544877.67526717,"вр. к.29,29б",81.4,3,114,10,1,1246219200000,Ст.20са,Тайлаковское,9.2,True,,P,15,False,,,,15,,,0.85,0.094,1E-05,True,False
35,pipe,HC0002,1750030968,359,1750026800,1750000610,1750000610,1750005566,1750021857,1750033323,359,1458821838000,к.118 ,86.64,1,440114.25,6554995.97,уз.к18,84.7,3,159,8,1,1431464400000,сталь 13ХФА,Тайлаковское,-1.94,True,,P,15,False,,,,15,,,0.85,0.143,1E-05,True,False
36,pipe,HC0002,1750037470,2710,1750026544,1750000610,1750000610,1750006714,1750036572,1750045719,2710,1498111373000,уз.зкл к.14,89.3,3,438327.488202522,6552640.11263698,т.вр.к.14,91.2,3,159,8,1,1425502800000,сталь 13ХФА,Тайлаковское,1.90000000000001,False,,,,False,,,,,,,0.85,0.143,1E-05,False,False
37,pipe,HC0002,1750036030,460,1750016964,1750000610,1750000610,1750006714,1750034343,1750018392,460,1487235032000,вр. к.1,84,3,439814.71,6546135.23,вр.р-он к.1,85.5,3,219,10,1,1148932800000,сталь 20,Тайлаковское,1.5,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
38,pipe,HC0002,1750041894,30,1750034983,1750000610,1750000610,1750006714,1750021882,1750021863,30,1536824784000,"уз.поворот к25, 29",80.8,3,440913.983955849,6546596.95623995,вр.к.25,82.6,3,159,10,1,,сталь 20,Тайлаковское,1.8,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
