,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,juncType,department_id,construct_type,brigade_id,mestor_id,pipeline_purpose_id,simple_part_id,_time,thread_num,pipeline_L,pipe_part_id,part_L,corroz,conn_type,proclad_type,grunt_type,material_type,avaria_num,change_date,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,X_start,Y_start,node_name_end,altitude_end,node_type_end,X_end,Y_end,D,S,thread_number,part_inuse_date,pipe_material,pipeline_type,placing,creation_date,schema_name,rs_schema_name,pipe_status_name,pipeline_purpose_name,mestor_name,brigade_name,department_name,pipe_status_id,_time_end,start_date,start_year,cover_int,uphillM,startIsSource,VolumeWater,startKind,startValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,sourceByCount,outletByCount,sourceMistakes,outletMistakes,sourceValueIsFilled,outletValueIsFilled,sourceKindIsFilled,outletKindIsFilled,inletBoundaryMistakes,outletBoundaryMistakes
10,10,10,10,10,10,10,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750019226,1585688400,1,89443,1750016989,22,1.34,HN0000,HL0002,HJ0000,HB0001,0,,1750016989,1750000610,1750000610,1750006714,1750034327,1750012330,22,1269961709000,к.4 ,90.9,1,440009.875648599,6551718.384948901,т.вр.к.4,89.9,3,439981.722188659,6551667.45188996,159,10,1,1150574400000.0,сталь 20,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1270476186000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1150574400000.0,2006.0,нет покрытия,-1.0,True,,P,15.0,False,,,,,,,0.85,0.139,1e-05,True,False,False,False,False,False,False,False,True,True
11,11,11,11,11,11,11,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750037471,1585688400,1,89443,1750022552,2441,1.05,HN0000,HL0002,HJ0000,HB0132,0,,1750022552,1750000610,1750000610,1750006714,1750036572,1750045719,2441,1498111412000,уз.зкл к.14,89.3,3,438327.4882025221,6552640.11263698,т.вр.к.14,91.2,3,440294.32245277,6551370.62550202,159,10,1,1343764800000.0,сталь 13ХФА,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1270476186000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1343764800000.0,2012.0,нет покрытия,1.90000000000001,False,,,,False,,,,,,,0.85,0.139,1e-05,False,False,False,False,False,False,False,False,True,True
12,12,12,12,12,12,12,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750016100,1585688400,1,150431,1750014135,1232,0.89,HN0000,HL0002,HJ0000,HB0033,0,,1750014135,1750000610,1750000610,1750005566,1750021888,1750018039,1232,1211440672000,т.вр.к.18,75.8,3,443289.08039709204,6554014.76186602,"т.вр. к27, к24",84.0,3,442940.233811724,6553264.38599961,219,10,1,1185134400000.0,сталь 20С,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1211440182000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1185134400000.0,2007.0,нет покрытия,8.2,False,,,,False,,,,,,,0.85,0.199,1e-05,False,False,False,False,False,False,False,False,True,True
13,13,13,13,13,13,13,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750022925,1585688400,1,150431,1750020440,4073,0.98,HN0000,HL0002,HJ0000,HB0033,0,,1750020440,1750000610,1750000610,1750005566,1751051666,1751051665,4073,1319450657000,т.уз.к.37,62.0,3,442475.871606453,6562897.75580928,вр. к.30,69.7,3,444929.61,6560064.25,219,8,1,1399060800000.0,сталь 20С,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1211440182000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1399060800000.0,2014.0,Лакокрасочное эпоксидное,7.7,False,,,,False,,,,,,,0.85,0.203,1e-05,False,False,False,False,False,False,False,False,True,True
14,14,14,14,14,14,14,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750025457,1585688400,1,89443,1750022604,24,1.15,HN0000,HL0002,HJ0000,HB0001,1,,1750022604,1750000610,1750000610,1750006714,1750029698,1750026716,24,1392710060000,к.15 ,88.6,1,435896.61379375705,6552994.16387524,т.вр.к15,87.4,3,435864.77241088,6552957.35801788,159,10,1,1343764800000.0,сталь 20,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1270476186000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1343764800000.0,2012.0,нет покрытия,-1.19999999999999,True,,P,15.0,False,,,,,,,0.85,0.139,1e-05,True,False,False,False,False,False,False,False,True,True
15,15,15,15,15,15,15,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750019199,1585688400,1,150431,1750016974,8,0.38,HN0000,HL0002,HJ0000,HB0033,0,,1750016974,1750000610,1750000610,1750005566,1750021808,1750014132,8,1269876747000,к.16 ,75.3,1,443200.29,6554552.23,уз.к16,75.2,3,443215.709210082,6554547.4041642975,159,10,1,1185134400000.0,сталь 20С,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1211440182000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1185134400000.0,2007.0,нет покрытия,-0.099999999999994,True,,P,15.0,False,,,,,,,0.85,0.139,1e-05,True,False,False,False,False,False,False,False,True,True
16,16,16,16,16,16,16,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750028005,1585688400,1,150431,1750024695,20,0.14,HN0000,HL0002,HJ0000,HB0033,0,,1750024695,1750000610,1750000610,1750005566,1750021861,1750017374,20,1431500628000,к.17 ,72.5,1,445738.33,6555101.4,т.вр к17,70.2,3,445730.437978446,6555070.56980781,159,10,1,1199134800000.0,сталь 20С,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1211440182000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1199134800000.0,2008.0,,-2.3,True,,P,15.0,False,,,,,,,0.85,0.139,1e-05,True,False,False,False,False,False,False,False,True,True
17,17,17,17,17,17,17,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750025456,1585688400,1,89443,1750022552,300,1.15,HN0000,HL0002,HJ0000,HB0132,0,,1750022552,1750000610,1750000610,1750006714,1750029699,1750029698,300,1392709233000,т.вр.к15,87.4,3,435864.77241088,6552957.35801788,уз.к.15,86.5,3,436104.195988662,6552883.72165117,159,10,1,1343764800000.0,сталь 13ХФА,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1270476186000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1343764800000.0,2012.0,нет покрытия,-0.9000000000000059,False,,,,False,,,,,,,0.85,0.139,1e-05,False,False,False,False,False,False,False,False,True,True
18,18,18,18,18,18,18,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750028012,1585688400,1,89443,1750016998,1461,1.84,HN0000,HL0002,HJ0000,HB0032,1,,1750016998,1750000610,1750000610,1750006714,1750021812,1750021819,1461,1431515901000,т.вр.к12,88.2,3,440509.632457669,6548307.61368351,Узел 2,82.6,3,440555.46143007296,6546655.19240579,273,10,1,1146945600000.0,сталь 20А,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1270476186000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1146945600000.0,2006.0,нет покрытия,-5.6000000000000085,False,,,,False,,,,,,,0.85,0.253,1e-05,False,False,False,False,False,False,False,False,True,True
19,19,19,19,19,19,19,pipe,ZX0014,FY0000,BR0000,MS0192,HC0002,1750016102,1585688400,1,150431,1750014137,3468,0.93,HN0000,HL0002,HJ0000,HB0033,0,,1750014137,1750000610,1750000610,1750005566,1750018039,1750021857,3468,1211440865000,уз.к18,84.7,3,440012.44,6554775.79,т.вр.к.18,75.8,3,443289.08039709204,6554014.76186602,159,10,1,1180468800000.0,сталь 20С,Все трубопроводы транспортирующие нефть ,ДНС-1 Тайлаковская,1211440182000,НС Тайлаковское м/р ДНС-1,НС Тайлаковское м/р ДНС-1,Действующий,Нефтесборный трубопровод от ЗУ до ДНС,Тайлаковское,,ЦДНГ-4,HH0004,1588280400,1180468800000.0,2007.0,нет покрытия,-8.90000000000001,False,,,,False,,,,,,,0.85,0.139,1e-05,False,False,False,False,False,False,False,False,True,True
